id,name,rating,address,city,latitude,longitude
89,puppy-bobar-san-francisco,5.0,1142 Grant Ave,      San Francisco,37.80,122.41
128,qteabar-oakland,5.0,478 Lake Park Ave,      Oakland,37.81,122.25
147,bobateani-san-jose,5.0,75 E Santa Clara St,      San Jose,37.34,121.89
365,taza-deli-and-cafe-redwood-city,5.0,1796 Broadway,      Redwood City,37.49,122.22
368,mr-green-bubble-sunnyvale,5.0,1255 S Mary Ave,      Sunnyvale,37.35,122.05
397,i-tea-burlingame-2,5.0,346 Lorton Ave,      Burlingame,37.58,122.35
426,waterfront-cafe-burlingame,5.0,500 Airport Blvd,      Burlingame,37.59,122.34
505,golden-bakery-pittsburg,5.0,2229 Railroad Ave,      Pittsburg,38.01,121.89
533,honey-bear-smoothie-tea-and-dessert-hayward,5.0,1 Southland Mall Dr,      Hayward,37.65,122.10
0,99-tea-house-fremont-2,4.5,3623 Thornton Ave,      Fremont,37.56,122.01
1,one-tea-fremont-2,4.5,46809 Warm Springs Blvd,      Fremont,37.49,121.93
3,teco-tea-and-coffee-bar-fremont,4.5,39030 Paseo Padre Pkwy,      Fremont,37.55,121.98
7,happy-lemon-fremont-2,4.5,46873 Warm Spring Blvd,      Fremont,37.49,121.93
44,teatop-milpitas,4.5,82 Ranch Dr,      Milpitas,37.43,121.92
45,ten-ren-tea-co-of-milpitas-milpitas,4.5,1732 N Milpitas Blvd,      Milpitas,37.46,121.91
56,i-tea-san-francisco-3,4.5,253 Kearny St,      San Francisco,37.79,122.40
59,steap-tea-bar-san-francisco-3,4.5,827 Sacramento St,      San Francisco,37.79,122.41
61,omg-tea-san-francisco,4.5,2891 San Bruno Ave,      San Francisco,37.73,122.40
70,wondertea-san-francisco-4,4.5,2250 Irving St,      San Francisco,37.76,122.48
71,the-boba-shop-san-francisco-4,4.5,2071 3rd St,      San Francisco,37.76,122.39
75,tea-hut-san-francisco-2,4.5,2815 California St,      San Francisco,37.79,122.44
77,tancca-san-francisco-3,4.5,5015 Geary Blvd,      San Francisco,37.78,122.47
82,keep-it-san-francisco-6,4.5,1170 Powell St,      San Francisco,37.80,122.41
91,little-heaven-deli-san-francisco,4.5,2348 Mission St,      San Francisco,37.76,122.42
92,5-sweets-san-francisco,4.5,1125 Ocean Ave 102,      San Francisco,37.72,122.45
93,good-earth-cafe-san-francisco-2,4.5,835 Kearny St,      San Francisco,37.80,122.41
120,quickly-oakland-4,4.5,1243 33rd Ave,      Oakland,37.78,122.23
129,the-burrow-brisbane-4,4.5,109 Visitacion,      Brisbane,37.68,122.40
130,sweet-belly-oakland,4.5,435 19th St,      Oakland,37.81,122.27
132,alice-street-bakery-café-oakland-2,4.5,251 10th St,      Oakland,37.80,122.27
144,happy-lemon-san-jose-5,4.5,3005 Silver Creek Rd,      San Jose,37.31,121.81
154,katea-san-jose,4.5,5700 Village Oaks Dr,      San Jose,37.25,121.85
159,happy-lemon-cupertino,4.5,20488 Stevens Creek Blvd,      Cupertino,37.32,122.03
173,sweet-gelato-tea-lounge-san-jose,4.5,979 Story Rd,      San Jose,37.33,121.86
182,heritage-eats-napa,4.5,3824 Bel Aire Plz,      Napa,38.32,122.31
191,palm-thai-bistro-fairfield,4.5,5089 Business Center Dr,      Fairfield,38.22,122.14
196,baotea-cafe-pleasanton-2,4.5,6654 Koll Center Pkwy,      Pleasanton,37.66,121.90
223,new-thai-bistro-pleasanton-2,4.5,4301 D Valley Ave,      Pleasanton,37.68,121.88
244,fusion-mix-frozen-yogurt-fremont-2,4.5,4144 Walnut Ave,      Fremont,37.54,121.98
249,storm-crepes-newark,4.5,39658 Cedar Blvd,      Newark,37.52,122.00
250,sweet-orchid-fremont,4.5,34460 Fremont Blvd,      Fremont,37.58,122.04
255,teaquation-redwood-city,4.5,1036 El Camino Real,      Redwood City,37.48,122.23
257,sweet-spot-castro-valley,4.5,20669 Santa Maria Ave,      Castro Valley,37.70,122.08
266,happy-lemon-cupertino-5,4.5,10963 N Wolfe Rd,      Cupertino,37.34,122.02
270,calibear-cyber-cafe-sunnyvale-6,4.5,1336 S Mary Ave,      Sunnyvale,37.35,122.05
273,gong-cha-sunnyvale,4.5,1641 Hollenbeck Ave,      Sunnyvale,37.34,122.04
280,the-tea-zone-and-fruit-bar-mountain-view,4.5,805 El Camino Real,      Mountain View,37.39,122.08
291,sunnywich-cafe-sunnyvale,4.5,223 East Maude Ave,      Sunnyvale,37.39,122.02
302,orange-tea-livermore,4.5,6033 Northfront Rd,      Livermore,37.71,121.72
314,chilly-and-munch-mountain-view,4.5,2101 Showers Dr,      Mountain View,37.41,122.11
319,teaspoon-palo-alto-7,4.5,2675 Middlefield Rd,      Palo Alto,37.43,122.13
324,poke-xpress-milpitas,4.5,1236 S Abel St,      Milpitas,37.41,121.90
335,happiness-cafe-san-jose,4.5,1688 Hostetter Rd,      San Jose,37.39,121.88
342,honeyberry-san-jose-9,4.5,3655 N 1st St,      San Jose,37.41,121.95
